YEAR4,MONTH2,PART_NO,PROCESS,OK_QTY,NG_QTY,TYPE,PROCNAME,SERI,SIZE,AC_PROCESS
2026,3,2R-S1980HHATTP1,011A,300,0,2,A/F TN 6-SPIN IR SALE PART,2R-1980,SMALL,110
2026,7,2SF-608XZZ-N(TB),011A,300,0,2,A/F TN 6-SPIN IR SALE PART,2-608,SMALL,110
2026,2,2SFL-2090ZZN7ATTP93,011A,150000,0,2,A/F TN 6-SPIN IR SALE PART,2L-2090,SMALL,110
2026,3,2SFL-2090ZZN7ATTP93,011A,150000,0,2,A/F TN 6-SPIN IR SALE PART,2L-2090,SMALL,110
2026,4,2SFL-2090ZZN7ATTP93,011A,150000,0,2,A/F TN 6-SPIN IR SALE PART,2L-2090,SMALL,110
2026,5,2SFL-2090ZZN7ATTP93,011A,150000,0,2,A/F TN 6-SPIN IR SALE PART,2L-2090,SMALL,110
2026,2,2SFR-1980HHMTTP93,011A,210000,0,2,A/F TN 6-SPIN IR SALE PART,2R-1980,SMALL,110
2026,3,2SFR-1980HHMTTP93,011A,340000,0,2,A/F TN 6-SPIN IR SALE PART,2R-1980,SMALL,110
2026,4,2SFR-1980HHMTTP93,011A,182500,0,2,A/F TN 6-SPIN IR SALE PART,2R-1980,SMALL,110
2026,5,2SFR-1980HHMTTP93,011A,17500,0,2,A/F TN 6-SPIN IR SALE PART,2R-1980,SMALL,110
2026,6,2SFR-1980HHMTTP93,011A,82500,0,2,A/F TN 6-SPIN IR SALE PART,2R-1980,SMALL,110
2026,5,2SFR-1980HHTP97,011A,1000,0,2,A/F TN 6-SPIN IR SALE PART,2R-1980,SMALL,110
2026,6,2SFR-1980HHTP97,011A,300000,0,2,A/F TN 6-SPIN IR SALE PART,2R-1980,SMALL,110
2026,6,2SFR-2210X6HH-NTP97,011A,500,0,2,A/F TN 6-SPIN IR SALE PART,2R-2210,SMALL,110
2026,5,2SFR-1560X2ZZ(GM),011G,66359,0,2,RING FORM FOTORY GM,2R-1560,SMALL,Unknown
2026,6,2SFR-1560X2ZZ(GM),011G,519751,0,2,RING FORM FOTORY GM,2R-1560,SMALL,Unknown
2026,7,2SFR-1560X2ZZ(GM),011G,1060623,0,2,RING FORM FOTORY GM,2R-1560,SMALL,Unknown
2026,7,2-608X11SD101H05-N(T),110,304180,0,2,TURNING I/R,2-608,SMALL,110
2026,3,2-608X11SD101H05-NTP93(T),110,902401,0,2,TURNING I/R,2-608,SMALL,110
2026,3,2-608X11SD101H05-NTP97,110,2203,0,2,TURNING I/R,2-608,SMALL,110
2026,2,2R-S1980HHATTP1,110,1403,0,2,TURNING I/R,2R-1980,SMALL,110
2026,6,2R-2210X3SD21-NTP93(T),110,342287,0,2,TURNING I/R,2R-2210,SMALL,110
2026,5,2SF-6000X2ZZ-NTP93(D),110,78211,0,2,TURNING I/R,¡.¾.-00,MIDDLE,110
2026,4,2SF-6000X2ZZ-NTP97,110,5480,0,2,TURNING I/R,¡.¾.-00,MIDDLE,110
2026,7,2SF-6000X2ZZSD21-N,110,11496,0,2,TURNING I/R,¡.¾.-00,MIDDLE,110
2026,3,2SF-608XZZ-NTP93,110,1781862,0,2,TURNING I/R,2-608,SMALL,110
2026,5,2SF-608XZZ-NTP93,110,374114,0,2,TURNING I/R,2-608,SMALL,110
2026,2,2SF-608XZZ-NTP93(DCM),110,252636,0,2,TURNING I/R,2-608,SMALL,110
2026,7,2SF-608X11ZZSD101H05-N,110,418574,0,2,TURNING I/R,2-608,SMALL,110
2026,5,2SF-608X12ZZ-N(T),110,491298,0,2,TURNING I/R,2-608,SMALL,110
2026,3,2SF-608X12ZZ-NTP93,110,426111,0,2,TURNING I/R,2-608,SMALL,110
2026,1,2SF-608X12ZZ-NTP93(T),110,1300295,0,2,TURNING I/R,2-608,SMALL,110
2026,2,2SF-608X12ZZ-NTP93(T),110,1071741,0,2,TURNING I/R,2-608,SMALL,110
2026,3,2SF-608X12ZZ-NTP93(T),110,1161003,0,2,TURNING I/R,2-608,SMALL,110
2026,5,2SF-608X12ZZ-NTP93(T),110,611875,0,2,TURNING I/R,2-608,SMALL,110
2026,6,2SF-608X6ZZSD86-NTP93,110,34876,0,2,TURNING I/R,2-608,SMALL,110
2026,3,2SF-608X6ZZSD86-NTP93(T),110,179468,0,2,TURNING I/R,2-608,SMALL,110
2026,3,2SF-608X6ZZSD86-NTP97,110,2643,0,2,TURNING I/R,2-608,SMALL,110
2026,5,2SF-608X6ZZSD86-NTP97,110,1890,0,2,TURNING I/R,2-608,SMALL,110
2026,5,2SF-608ZZ,110,559909,0,2,TURNING I/R,2-608,SMALL,110
2026,7,2SF-608ZZ,110,201644,0,2,TURNING I/R,2-608,SMALL,110
2026,5,2SF-608ZZ(T),110,3381826,0,2,TURNING I/R,2-608,SMALL,110
2026,2,2SF-608ZZTP93,110,132811,0,2,TURNING I/R,2-608,SMALL,110
2026,5,2SF-608ZZTP93,110,324431,0,2,TURNING I/R,2-608,SMALL,110
2026,1,2SF-608ZZTP93(T),110,4444278,0,2,TURNING I/R,2-608,SMALL,110
2026,5,2SF-608ZZTP93(T),110,2341820,0,2,TURNING I/R,2-608,SMALL,110
2026,3,2SF-608ZZTP97,110,2416,0,2,TURNING I/R,2-608,SMALL,110
2026,6,2SF-609ZZ(T),110,7169,0,2,TURNING I/R,2-609,MIDDLE,110
2026,7,2SF-626XZZ-N(DC),110,27937,0,2,TURNING I/R,2-626,SMALL,110
2026,6,2SF-626XZZSD37-NTP93,110,49735,0,2,TURNING I/R,2-626,SMALL,110
2026,1,2SF-627ZZSD21-NTP93,110,69154,0,2,TURNING I/R,2-627,SMALL,110
2026,2,2SF-627ZZSD21-NTP93,110,46026,0,2,TURNING I/R,2-627,SMALL,110
2026,3,2SF-635XZZ-NTP93,110,148227,0,2,TURNING I/R,2-635,SMALL,110
2026,5,2SFL-1680XHH(T),110,640120,0,2,TURNING I/R,2L-1680,SMALL,110
2026,2,2SFL-1680XHHTP93,110,1155488,0,2,TURNING I/R,2L-1680,SMALL,110
2026,3,2SFL-1680XHHTP93,110,825125,0,2,TURNING I/R,2L-1680,SMALL,110
2026,5,2SFL-1680XHHTP97,110,5323,0,2,TURNING I/R,2L-1680,SMALL,110
2026,5,2SFL-1680X2HH(T),110,179945,0,2,TURNING I/R,2L-1680,SMALL,110
2026,3,2SFL-1680X2HHTP93,110,1917501,0,2,TURNING I/R,2L-1680,SMALL,110
2026,5,2SFL-1680X2HHTP93,110,875061,0,2,TURNING I/R,2L-1680,SMALL,110
2026,5,2SFL-1680X2HHTP97,110,6069,0,2,TURNING I/R,2L-1680,SMALL,110
2026,4,2SFL-1910X5ZZTP93,110,402239,0,2,TURNING I/R,2L-1910,SMALL,110
2026,5,2SFL-2090ZZN7(T),110,579406,0,2,TURNING I/R,2L-2090,SMALL,110
2026,2,2SFL-2090ZZN7ATTP93,110,236854,0,2,TURNING I/R,2L-2090,SMALL,110
2026,3,2SFL-2090ZZN7ATTP93,110,106862,0,2,TURNING I/R,2L-2090,SMALL,110
