SECTION,SENT_DATE,VENDOR,PONO,ITEM_NO,ITEM_NAME,SPEC,DUEDATE,UNIT_PRICE,ORDER_QTY,ORDER_AMT,BUYER_NAME,AUTHOLIZER_NAME,SENDING_DATETIME,
7211,2026/01/05,2060517,STA8165,EF00027T,STOP RING,6-608XNR;                        S,2026-01-15,0.833,400000,333200,MRS.KARNJANA  GOGERD,MRS.KARNJANA  GOGERD,2026-01-05-08.35.44,
7211,2026/01/05,2060517,STA8168,EF00014T,STOP RING,6-608NRSD06;                     S,2026-01-05,0.521,30000,15630,MRS.KARNJANA  GOGERD,MRS.KARNJANA  GOGERD,2026-01-05-08.35.44,
7211,2026/01/05,2060517,STA8169,EF00017T,STOP RING,6-608NRSD07;                     S,2026-01-05,0.465,60000,27900,MRS.KARNJANA  GOGERD,MRS.KARNJANA  GOGERD,2026-01-05-08.35.44,
7211,2026/01/05,2060517,STA8414,EF00017T,STOP RING,6-608NRSD07;                     S,2026-01-05,0.465,30000,13950,MRS.KARNJANA  GOGERD,MRS.KARNJANA  GOGERD,2026-01-05-08.35.44,
7211,2026/01/05,2660073,TN05057,,COLLET TUBE(2),PT47007-01-T1502,2026-02-09,2750,12,33000,MRS.KARNJANA  GOGERD,MS.PHUNCHALEE MEEPRADIT,2026-01-05-17.16.04,
7211,2026/01/05,2007509,FG53001,,PANDO,TB2083L (RESIN+HARDENER),2026-02-06,8500,1,8500,MS.KAMONRAT SORNPROM,MS.PHUNCHALEE MEEPRADIT,2026-01-05-17.16.04,
7211,2026/01/05,2006704,FG53002,,SILICONE,GP(GRAY),2026-02-06,80,5,400,MS.KAMONRAT SORNPROM,MS.PHUNCHALEE MEEPRADIT,2026-01-05-17.16.04,
7211,2026/01/05,2000704,FG53003,,FLUORESCENT CIRCLE DAYLIHT,22W,2026-02-03,125,5,625,MS.KAMONRAT SORNPROM,MS.PHUNCHALEE MEEPRADIT,2026-01-05-17.16.04,
7211,2026/01/05,2009626,FG52801,,DIAMOND FILES,HI00801,2026-02-04,115,3,345,MS.KAMONRAT SORNPROM,MS.PHUNCHALEE MEEPRADIT,2026-01-05-17.16.04,
7211,2026/01/05,2009626,FG52802,,THICKNESS GAUGES,150MY (0.03-1.0MM),2026-02-04,590,1,590,MS.KAMONRAT SORNPROM,MS.PHUNCHALEE MEEPRADIT,2026-01-05-17.16.04,
7211,2026/01/05,2002207,MF51690,SWN-03003,COMMOND WASHER,M5,2026-01-05,0.5,300,150,MRS.KARNJANA  GOGERD,MRS.KARNJANA  GOGERD,2026-01-05-10.20.48,
7211,2026/01/05,2060294,AA05318,,TENSION COIL SPRING,PT47067-11-T6908,2026-01-23,150,10,1500,MS.PHUNCHALEE MEEPRADIT,MS.PHUNCHALEE MEEPRADIT,2026-01-05-10.55.49,
7211,2026/01/05,2008389,AA05356,,PLATE FOR CHECK BRG.-1,PT47035-01-0500A-04,2026-02-02,350,2,700,MS.PHUNCHALEE MEEPRADIT,MS.PHUNCHALEE MEEPRADIT,2026-01-05-11.00.49,
7211,2026/01/05,2008389,AA05357,,PLATE FOR CHECK BRG.-2,PT47035-01-0510A-04,2026-02-02,650,2,1300,MS.PHUNCHALEE MEEPRADIT,MS.PHUNCHALEE MEEPRADIT,2026-01-05-11.00.49,
7211,2026/01/05,2008389,AA05358,,PLATE FOR CHECK BRG.-3,PT47035-01-0520B-04,2026-02-02,650,2,1300,MS.PHUNCHALEE MEEPRADIT,MS.PHUNCHALEE MEEPRADIT,2026-01-05-11.00.49,
7211,2026/01/05,2002207,FO10078,,HEX HEAD BOLTS,M16X80,2026-02-02,14.76,4,59.04,MRS.KARNJANA  GOGERD,MS.PHUNCHALEE MEEPRADIT,2026-01-05-17.16.04,
7211,2026/01/05,2160615,AA05359,,PLATE FOR CHECK BRG.-4,PT47035-01-0530E,2026-02-02,284,2,568,MS.PHUNCHALEE MEEPRADIT,MS.PHUNCHALEE MEEPRADIT,2026-01-05-11.05.50,
7211,2026/01/05,2160615,FO10079,,SCREEN FOR PART DROP,PT37001-09-0200,2026-02-02,820,1,820,MRS.KARNJANA  GOGERD,MS.PHUNCHALEE MEEPRADIT,2026-01-05-14.15.56,
7211,2026/01/05,2160615,FO10080,,SCREEN FOR DROPPING PART(BACK),PT37083-06-1090A,2026-02-02,900,1,900,MRS.KARNJANA  GOGERD,MS.PHUNCHALEE MEEPRADIT,2026-01-05-14.15.56,
7211,2026/01/05,2006270,TN05111,,STOCK TUBE CONNETING BOLT,P47006-12-014,2026-02-02,285,20,5700,MRS.KARNJANA  GOGERD,MS.PHUNCHALEE MEEPRADIT,2026-01-05-17.16.04,
7211,2026/01/05,2005607,AA05350,,STRUT CLAMPS,SLKD12,2026-01-12,585.68,2,1171.36,MS.PHUNCHALEE MEEPRADIT,MS.PHUNCHALEE MEEPRADIT,2026-01-05-11.50.51,
7211,2026/01/05,2005607,AA05351,,ROTARY CLAMPS,PSFR12-200.0,2026-01-12,214.46,1,214.46,MS.PHUNCHALEE MEEPRADIT,MS.PHUNCHALEE MEEPRADIT,2026-01-05-11.50.51,
7211,2026/01/05,2005607,AA05352,,ROTARY CLAMPS,PSFR12-280.0,2026-01-12,302.97,1,302.97,MS.PHUNCHALEE MEEPRADIT,MS.PHUNCHALEE MEEPRADIT,2026-01-05-11.50.51,
7211,2026/01/05,2007249,TC29798,KF00056M,THROW AWAY TIP,TNMG 332MA NX3035 (NMF-8924)FACING,2026-01-09,113,60,6780,MS.PHUNCHALEE MEEPRADIT,MS.PHUNCHALEE MEEPRADIT,2026-01-05-11.50.51,
7211,2026/01/05,2007249,TC29799,BIT-05008,BIT BLANK,NO.04-L NX2525 (30),2026-01-09,114,100,11400,MS.PHUNCHALEE MEEPRADIT,MS.PHUNCHALEE MEEPRADIT,2026-01-05-11.50.51,
7211,2026/01/05,2007249,TC29800,KG05005M,CARBIDE BLANK,5X50   TF15,2026-01-09,105,50,5250,MS.PHUNCHALEE MEEPRADIT,MS.PHUNCHALEE MEEPRADIT,2026-01-05-11.50.51,
7211,2026/01/05,2007249,TC29801,KG07008M,CARBIDE BLANK,7X40   TF15,2026-01-09,241,400,96400,MS.PHUNCHALEE MEEPRADIT,MS.PHUNCHALEE MEEPRADIT,2026-01-05-11.50.51,
7211,2026/01/05,2007249,TC29802,KG12701M,CARBIDE BLANK,12.7X40   TF15,2026-01-09,708,5,3540,MS.PHUNCHALEE MEEPRADIT,MS.PHUNCHALEE MEEPRADIT,2026-01-05-11.50.51,
7211,2026/01/05,2002468,TC29825,LA00049S,C/L GRINDING WHEEL,WAS80L8VMI(1A) 610X255X304.8,2026-01-05,19537,6,117222,MS.PHUNCHALEE MEEPRADIT,MS.PHUNCHALEE MEEPRADIT,2026-01-05-11.50.51,
7211,2026/01/05,2002468,TC29826,LA00089S,C/L GRINDING WHEEL,WA60L8VMI (1A) 610X255X304.8,2026-01-05,19537,2,39074,MS.PHUNCHALEE MEEPRADIT,MS.PHUNCHALEE MEEPRADIT,2026-01-05-11.50.51,
7211,2026/01/05,2002468,TC29827,LA00090S,C/L GRINDING WHEEL,WA80L8V91L(1A) 455X150X228.6,2026-01-05,9790,6,58740,MS.PHUNCHALEE MEEPRADIT,MS.PHUNCHALEE MEEPRADIT,2026-01-05-11.50.51,
