DATE,ITEM,NAME,SPEC,DRAWING,AC_CODE,WC_CODE,LOC,DEPT,VD_CODE,VD_NAME,UP,CUR,PURLT,ORDER_BAL,SAFETY_STOCK,ITEM_TYPE,UNIT,BEGIN_QTY,RECEIVE_QTY,ISSUE_QTY,STOCK_QTY,BEGIN_AMOUNT,RECEIVE_AMOUNT,ISSUE_AMOUNT,STOCK_AMOUNT,LAST_ISSUED_DATE,LAST_STOCK_IN_DATE
1/1/2025,SKU-0001,STEEL BAR,STE-001,BP-2012D      S,4520AA,TN29,3,90,NIP262,Nippon Precision Bar,,BT,0,14651,500,P,KGS,0,0,0,0,0,0,0,0,8/6/2026,28/8/2026
1/1/2025,SKU-0002,STEEL BAR,STE-004,BP-2012D      S,4520AA,TN29,3,90,NIP262,Nippon Precision Bar,88.15076627,BT,0,0,500,P,KGS,1726,16977,14193,4510,102651.26,992645.19,831179.12,264117.33,3/7/2025,18/7/2025
1/1/2025,SKU-0003,STEEL BAR,STE-003,BP-2012D      S,4520AA,TN29,3,90,NIP262,Nippon Precision Bar,0,BT,0,15078,500,P,KGS,0,0,0,0,0,0,0,0,5/8/2026,31/8/2026
1/1/2025,SKU-0004,STEEL BAR,STE-004,BP-2012D      S,4520AA,TN29,3,90,NIP262,Nippon Precision Bar,0,BT,0,0,0,P,KGS,0,0,0,0,0,0,0,0,6/6/2026,22/5/2026
1/1/2025,SKU-0005,STEEL BAR,STE-005,BP-2012O,4520AA,TN29,3,90,NIP262,Nippon Precision Bar,0,BT,0,0,0,P,KGS,0,0,0,0,0,0,0,0,11/5/2025,25/4/2025
1/1/2025,SKU-0006,STEEL BAR,STE-008,BP-2012D      S,4520AA,TN29,3,90,NIP262,Nippon Precision Bar,88.30226088,BT,0,0,500,P,KGS,3370,8527,9520,2377,200470.18,498573.69,559376.1,139667.77,3/7/2025,23/7/2025
1/1/2025,SKU-0007,STEEL BAR,STE-007,BP-2012D      S,4520AA,TN29,3,90,NIP262,Nippon Precision Bar,0,BT,0,30977,500,P,KGS,0,0,0,0,0,0,0,0,4/8/2026,17/8/2026
1/1/2025,SKU-0008,STEEL BAR,STE-008,BP-2012D      S,4520AA,TN29,3,90,NIP262,Nippon Precision Bar,0,BT,0,0,0,P,KGS,0,0,0,0,0,0,0,0,25/6/2026,17/6/2026
1/1/2025,SKU-0009,STEEL BAR,STE-009,BP-2000O      S,4520AA,TN29,3,90,NIP262,Nippon Precision Bar,96.015,BT,0,0,0,P,KGS,316,0,0,316,20227.16,0,0,20227.16,5/9/2024,10/9/2025
1/1/2025,SKU-0010,STEEL BAR,STE-008,BP-2012D      S,4520AA,TN29,3,90,NIP262,Nippon Precision Bar,0,BT,0,0,0,P,KGS,0,0,0,0,0,0,0,0,13/7/2026,13/7/2026
1/1/2025,SKU-0011,STEEL BAR,STE-0011,BP-2012D      S,4520AA,TN29,3,90,NIP262,Nippon Precision Bar,88.12663898,BT,0,0,0,P,KGS,2216,22904.5,21298.5,3822,131676.27,1339274.31,1247150.38,223800.2,3/7/2025,4/7/2025
1/1/2025,SKU-0012,STEEL BAR,STE-0010,BP-2012D      S,4520AA,TN29,3,90,NIP262,Nippon Precision Bar,0,BT,0,21669,1000,P,KGS,0,0,0,0,0,0,0,0,5/8/2026,31/8/2026
1/1/2025,SKU-0013,STEEL BAR,STE-0010,BP-2012D      S,4520AA,TN29,3,90,NIP262,Nippon Precision Bar,0,BT,0,0,1000,P,KGS,0,0,0,0,0,0,0,0,3/4/2026,29/4/2026
1/1/2025,SKU-0014,STEEL BAR,STE-0016,BP-2012D      S,4520AA,TN29,3,90,NIP262,Nippon Precision Bar,88.15989982,BT,0,0,0,P,KGS,3727,22200,20960,4967,221429.64,1298034,1228371.28,291092.36,31/3/2025,3/7/2026
1/1/2025,SKU-0015,STEEL BAR,STE-0015,BP-2012D      S,4520AA,TN29,3,90,NIP262,Nippon Precision Bar,0,BT,0,46743,1000,P,KGS,0,0,0,0,0,0,0,0,5/8/2026,31/8/2026
1/1/2025,SKU-0016,STEEL BAR,STE-0016,BP-2012D      S,4520AA,TN29,3,90,NIP262,Nippon Precision Bar,87.705,BT,0,38000,1000,P,KGS,0,985,984,1,0,57592.95,57534.48,58.47,6/6/2026,15/7/2026
1/1/2025,SKU-0017,STEEL BAR,STE-0020,BP-2015C      N,4520AA,TN29,3,90,NIP262,Nippon Precision Bar,0,BT,0,0,0,P,KGS,0,0,0,0,0,0,0,0,29/3/2026,9/3/2026
1/1/2025,SKU-0018,STEEL BAR,STE-0016,BP-2012D,4520AA,TN29,3,90,NIP262,Nippon Precision Bar,88.12478422,BT,0,0,0,P,KGS,13531,117980,116094,15417,803719.75,6898290.6,6799106.04,902904.31,5/5/2025,2/5/2025
