DATE,ITEM,NAME,SPEC,AC_CODE,WC_CODE,LOC,VD_CODE,VD_NAME,UP,CUR,ORDER_BAL,UNIT,BEGIN_QTY,RECEIVE_QTY,ISSUE_QTY,STOCK_QTY,LAST_ISSUED_DATE,LAST_STOCK_IN_DATE,STOCK_AGE,GROUP_AGE
2025-01-01,SKU-0001,STEEL BAR,STE-001,4520AA,TN29,3,NIP262,Nippon Precision Bar,0.84,BT,14651,KGS,0,0,0,0,2026-06-08,2026-08-28,0,0-3 months
2025-01-01,SKU-0002,STEEL BAR,STE-004,4520AA,TN29,3,NIP262,Nippon Precision Bar,88.15076627,BT,0,KGS,1519,14940,12490,3969,2025-07-03,2025-07-18,13,12-24 months
2025-01-01,SKU-0003,STEEL BAR,STE-003,4520AA,TN29,3,NIP262,Nippon Precision Bar,0.0,BT,15078,KGS,0,0,0,0,2026-08-05,2026-08-31,0,0-3 months
2025-01-01,SKU-0004,STEEL BAR,STE-004,4520AA,TN29,3,NIP262,Nippon Precision Bar,0.0,BT,0,KGS,0,0,0,0,2026-06-06,2026-05-22,3,0-3 months
2025-01-01,SKU-0005,STEEL BAR,STE-005,4520AA,TN29,3,NIP262,Nippon Precision Bar,0.0,BT,0,KGS,0,0,0,0,2025-05-11,2025-04-25,16,12-24 months
2025-01-01,SKU-0006,STEEL BAR,STE-008,4520AA,TN29,3,NIP262,Nippon Precision Bar,88.30226088,BT,0,KGS,2966,7504,8378,2092,2025-07-03,2025-07-23,13,12-24 months
2025-01-01,SKU-0007,STEEL BAR,STE-007,4520AA,TN29,3,NIP262,Nippon Precision Bar,0.0,BT,30977,KGS,0,0,0,0,2026-08-04,2026-08-17,0,0-3 months
2025-01-01,SKU-0008,STEEL BAR,STE-008,4520AA,TN29,3,NIP262,Nippon Precision Bar,0.0,BT,0,KGS,0,0,0,0,2026-06-25,2026-06-17,2,0-3 months
2025-01-01,SKU-0009,STEEL BAR,STE-009,4520AA,TN29,3,NIP262,Nippon Precision Bar,96.015,BT,0,KGS,278,0,0,278,2024-09-05,2025-09-10,11,6-12 months
2025-01-01,SKU-0010,STEEL BAR,STE-008,4520AA,TN29,3,NIP262,Nippon Precision Bar,0.0,BT,0,KGS,0,0,0,0,2026-07-13,2026-07-13,1,0-3 months
2025-01-01,SKU-0011,STEEL BAR,STE-0011,4520AA,TN29,3,NIP262,Nippon Precision Bar,88.12663898,BT,0,KGS,1950,20156,18743,3363,2025-07-03,2025-07-04,14,12-24 months
2025-01-01,SKU-0012,STEEL BAR,STE-0010,4520AA,TN29,3,NIP262,Nippon Precision Bar,0.0,BT,21669,KGS,0,0,0,0,2026-08-05,2026-08-31,0,0-3 months
